,track_name,artist_name
512,save your tears (with ariana grande) (remix),ariana grande
513,one last time,ariana grande
514,positions,ariana grande
515,side to side,ariana grande
516,into you,ariana grande
517,bang bang,ariana grande
518,no tears left to cry,ariana grande
519,dangerous woman,ariana grande
520,stuck with u (with justin bieber),ariana grande
521,god is a woman,ariana grande
522,rain on me (with ariana grande),ariana grande
523,santa tell me,ariana grande
524,34+35,ariana grande
525,"break up with your girlfriend, i'm bored",ariana grande
526,die for you - remix,ariana grande
527,love me harder,ariana grande
528,break free,ariana grande
529,problem,ariana grande
530,we can't be friends (wait for your love),ariana grande
531,boyfriend (with social house),ariana grande
532,breathin,ariana grande
533,pov,ariana grande
534,everyday,ariana grande
535,motive (with doja cat),ariana grande
536,"yes, and?",ariana grande
537,the way,ariana grande
538,good as hell (feat. ariana grande) - remix,ariana grande
539,imagine,ariana grande
540,bloodline,ariana grande
541,needy,ariana grande
542,let me love you,ariana grande
543,don’t call me angel (charlie’s angels) (with miley cyrus & lana del rey),ariana grande
544,my favorite part,ariana grande
545,everytime,ariana grande
546,focus,ariana grande
547,nasa,ariana grande
548,almost is never enough,ariana grande
549,intro (end of the world),ariana grande
550,bed (feat. ariana grande),ariana grande
551,the boy is mine,ariana grande
552,be alright,ariana grande
553,dance to this (feat. ariana grande),ariana grande
554,bad idea,ariana grande
555,greedy,ariana grande
556,"beauty and the beast - from ""beauty and the beast""/soundtrack version",ariana grande
557,in my head,ariana grande
558,ghostin,ariana grande
559,"34+35 remix (feat. doja cat, megan thee stallion) - remix",ariana grande
560,goodnight n go,ariana grande
561,quit (feat. ariana grande),ariana grande
562,goosebumps,travis scott
563,sicko mode,travis scott
564,highest in the room,travis scott
565,butterfly effect,travis scott
566,zeze (feat. travis scott & offset),travis scott
567,fair trade (with travis scott),travis scott
568,fe!n (feat. playboi carti),travis scott
569,love galore (feat. travis scott),travis scott
570,the scotts,travis scott
571,goosebumps - remix,travis scott
572,stargazing,travis scott
573,the london (feat. j. cole & travis scott),travis scott
574,pick up the phone,travis scott
575,out west (feat. young thug),travis scott
576,antidote,travis scott
577,trance (with travis scott & young thug),travis scott
578,yosemite,travis scott
579,can't say,travis scott
580,take what you want (feat. ozzy osbourne & travis scott),travis scott
581,i know ?,travis scott
582,sky walker (feat. travis scott),travis scott
583,90210 (feat. kacy hill),travis scott
584,portland,travis scott
585,5% tint,travis scott
586,open arms (feat. travis scott),travis scott
587,dark knight dummo (feat. travis scott),travis scott
588,my eyes,travis scott
589,tkn (feat. travis scott),travis scott
590,overdue (with travis scott),travis scott
591,hot (remix) [feat. gunna and travis scott],travis scott
592,know no better,travis scott
593,gatti,travis scott
594,beibs in the trap,travis scott
595,astrothunder,travis scott
596,ghostface killers (feat. travis scott),travis scott
597,sdp interlude,travis scott
598,no bystanders,travis scott
599,champion (feat. travis scott),travis scott
600,meltdown (feat. drake),travis scott
601,telekinesis (feat. sza & future),travis scott
602,niagara falls (foot or 2) [with travis scott & 21 savage],travis scott
603,wake up,travis scott
604,skeletons,travis scott
605,turks (feat. travis scott),travis scott
606,type shit,travis scott
607,nightcrawler (feat. swae lee & chief keef),travis scott
608,k-pop (feat. bad bunny & the weeknd),travis scott
609,champions,travis scott
610,franchise (feat. young thug & m.i.a.),travis scott
611,pussy & millions (feat. travis scott),travis scott
612,4 am,travis scott
613,through the late night,travis scott
614,ni**as in paris,kanye west
615,stronger,kanye west
616,heartless,kanye west
617,gold digger,kanye west
618,father stretch my hands pt. 1,kanye west
619,fourfiveseconds,kanye west
620,flashing lights,kanye west
621,bound 2,kanye west
622,power,kanye west
623,american boy,kanye west
624,runaway,kanye west
625,i wonder,kanye west
626,homecoming,kanye west
627,i love it (& lil pump),kanye west
628,all of the lights,kanye west
629,all falls down,kanye west
630,black skinhead,kanye west
631,violent crimes,kanye west
632,can't tell me nothing,kanye west
633,famous,kanye west
634,forever,kanye west
635,carnival,kanye west
636,run this town,kanye west
637,ghost town,kanye west
638,all mine,kanye west
639,devil in a new dress,kanye west
640,praise god,kanye west
641,waves,kanye west
642,good life,kanye west
643,follow god,kanye west
644,mixed personalities (feat. kanye west),kanye west
645,hurricane,kanye west
646,no church in the wild,kanye west
647,mercy,kanye west
648,monster,kanye west
649,knock you down,kanye west
650,touch the sky,kanye west
651,ultralight beam,kanye west
652,through the wire,kanye west
653,erase me - main,kanye west
654,good morning,kanye west
655,moon,kanye west
656,champions,kanye west
657,true love,kanye west
658,wolves,kanye west
659,off the grid,kanye west
660,jesus walks,kanye west
661,put on,kanye west
662,otis,kanye west
663,pt. 2,kanye west
664,no more parties in la,kanye west
665,e.t.,kanye west
666,fade,kanye west
667,champion,kanye west
668,don't like.1,kanye west
669,everything i am,kanye west
670,gorgeous,kanye west
671,yikes,kanye west
672,that part,kanye west
673,fml,kanye west
674,gotta have it,kanye west
675,dark fantasy,kanye west
676,slow jamz,kanye west
677,real friends,kanye west
678,watch (feat. lil uzi vert & kanye west),kanye west
679,love lockdown,kanye west
680,blood on the leaves,kanye west
681,jukebox joints (feat. joe fox & kanye west),kanye west
682,saint pablo,kanye west
683,burn,kanye west
684,why i love you,kanye west
685,all we got (feat. kanye west & chicago children's choir),kanye west
686,all day,kanye west
687,amazing,kanye west
688,"ego death (feat. kanye west, fka twigs & skrillex)",kanye west
689,one man can change the world,kanye west
690,fuk sumn,kanye west
691,new slaves,kanye west
692,heard 'em say,kanye west
