,Artist,url_songs
260,Troye Sivan,https://kworb.net/spotify/artist/3WGpXCj9YhhfX11TToZcXP_songs.html
261,Lorde,https://kworb.net/spotify/artist/163tK9Wjr9P9DmM0AVK7lm_songs.html
262,U2,https://kworb.net/spotify/artist/51Blml2LZPmy7TTiAg47vQ_songs.html
263,David Bowie,https://kworb.net/spotify/artist/0oSGxfWSnnOXhD2fKuz2Gy_songs.html
264,Stray Kids,https://kworb.net/spotify/artist/2dIgFjalVxs4ThymZ67YCE_songs.html
265,Jonas Blue,https://kworb.net/spotify/artist/1HBjj22wzbscIZ9sEb5dyf_songs.html
266,Jhené Aiko,https://kworb.net/spotify/artist/5ZS223C6JyBfXasXxrRqOk_songs.html
267,Creedence Clearwater Revival,https://kworb.net/spotify/artist/3IYUhFvPQItj6xySrBmZkd_songs.html
268,Ñengo Flow,https://kworb.net/spotify/artist/12vb80Km0Ew53ABfJOepVz_songs.html
269,Madonna,https://kworb.net/spotify/artist/6tbjWDEIzxoDsBA1FuhfPW_songs.html
270,Frank Sinatra,https://kworb.net/spotify/artist/1Mxqyy3pSjf8kZZL4QVxS0_songs.html
271,Luis Fonsi,https://kworb.net/spotify/artist/4V8Sr092TqfHkfAA5fXXqG_songs.html
272,Jeremih,https://kworb.net/spotify/artist/3KV3p5EY4AvKxOlhGHORLg_songs.html
